,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,221","1,356","1,522","1,703","1,770","2,079","2,283","2,304","2,363","2,097","1,289","1,616","1,852"
Expenses +,867,"1,059","1,235","1,336","1,323","1,489","1,643","1,721","1,829","1,665","1,061","1,256","1,436"
Operating Profit,354,296,286,366,446,590,640,583,534,433,228,360,416
OPM %,29%,22%,19%,22%,25%,28%,28%,25%,23%,21%,18%,22%,22%
Other Income +,26,46,125,53,112,94,41,47,41,32,42,73,66
Interest,9,16,31,35,37,55,35,27,26,33,34,31,34
Depreciation,65,71,126,79,104,122,129,136,128,146,129,119,114
Profit before tax,306,256,255,306,418,508,517,467,421,286,107,282,334
Tax %,32%,30%,0%,26%,26%,31%,32%,33%,35%,2%,27%,23%,
Net Profit,208,178,255,226,308,351,349,311,274,281,78,217,254
EPS in Rs,6.57,5.64,7.69,6.92,9.42,10.73,10.63,9.63,8.79,9.72,3.19,8.44,9.72
