,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,601,531,626,"1,032","1,225","1,104","1,292","1,394","1,483"
Expenses +,576,494,563,877,"1,146","1,018",845,931,"1,171"
Operating Profit,25,37,63,154,79,86,447,463,312
OPM %,4%,7%,10%,15%,6%,8%,35%,33%,21%
Other Income +,2,3,8,14,8,6,11,20,25
Interest,14,11,10,8,1,0,1,0,1
Depreciation,5,6,5,6,7,10,10,10,10
Profit before tax,8,23,57,155,78,83,446,473,327
Tax %,40%,29%,37%,35%,40%,19%,25%,26%,
Net Profit,5,16,35,100,47,67,334,350,238
EPS in Rs,0.29,0.98,2.14,6.03,2.85,4.04,20.13,21.10,14.35
