,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,537,638,725,865,847,816,720,636,594,572,551,520,526
Expenses +,416,497,575,733,723,667,619,570,561,533,485,473,497
Operating Profit,122,141,150,132,124,148,101,66,33,39,66,46,30
OPM %,23%,22%,21%,15%,15%,18%,14%,10%,6%,7%,12%,9%,6%
Other Income +,45,68,22,-104,18,7,-6,11,27,25,15,13,8
Interest,2,4,4,5,4,3,2,1,1,2,2,2,1
Depreciation,57,84,99,137,144,149,55,48,27,19,13,10,10
Profit before tax,108,120,70,-114,-6,3,38,28,31,43,66,47,27
Tax %,20%,31%,33%,-16%,-474%,973%,63%,59%,40%,37%,31%,31%,
Net Profit,89,83,47,-132,-32,-28,14,11,19,28,46,32,18
EPS in Rs,7.57,7.23,4.13,-11.55,-2.96,-2.52,1.35,1.08,1.79,2.61,4.40,3.07,1.72
