,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,561,580,425,575,"1,229","1,020","1,097","1,411"
Expenses +,509,527,373,483,"1,041",956,940,"1,251"
Operating Profit,52,53,52,92,188,65,157,160
OPM %,9%,9%,12%,16%,15%,6%,14%,11%
Other Income +,2,1,11,2,14,36,3,3
Interest,10,8,4,9,10,12,12,13
Depreciation,15,14,14,18,26,24,23,34
Profit before tax,30,31,45,67,166,65,126,116
Tax %,10%,8%,3%,20%,22%,10%,24%,
Net Profit,27,48,56,78,164,61,123,123
EPS in Rs,0.93,1.70,2.00,2.75,5.80,2.14,4.37,4.35
