,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,681","3,686","3,815","4,535","5,765","6,485","4,941","7,710","11,369"
Expenses +,"2,887","2,910","2,851","3,409","4,506","4,949","3,446","5,816","9,254"
Operating Profit,794,775,964,"1,126","1,259","1,536","1,495","1,894","2,115"
OPM %,22%,21%,25%,25%,22%,24%,30%,25%,19%
Other Income +,31,78,108,153,213,293,240,401,455
Interest,30,10,1,2,2,20,22,25,13
Depreciation,149,156,167,181,201,252,290,317,336
Profit before tax,645,687,904,"1,096","1,269","1,556","1,422","1,953","2,221"
Tax %,33%,33%,33%,34%,34%,20%,18%,23%,
Net Profit,448,458,606,722,842,"1,249","1,173","1,502","1,714"
EPS in Rs,6.40,6.54,8.66,10.31,12.03,17.84,16.75,21.46,24.48
