,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,67,80,91,113,135,148,174,175,195,204,256,277
Expenses +,57,65,71,90,99,104,118,135,149,154,197,210
Operating Profit,9,15,20,23,36,44,56,40,46,50,59,67
OPM %,14%,19%,22%,20%,27%,30%,32%,23%,24%,24%,23%,24%
Other Income +,4,1,1,7,3,3,-4,5,-3,-1,5,3
Interest,1,0,1,1,2,1,1,0,1,1,1,1
Depreciation,1,1,1,2,3,20,13,8,9,12,15,15
Profit before tax,11,15,19,27,34,26,38,37,33,35,49,55
Tax %,25%,18%,28%,29%,23%,24%,18%,20%,20%,17%,18%,
Net Profit,8,12,14,19,26,19,31,30,26,29,40,45
EPS in Rs,6.13,8.93,10.13,12.75,16.69,12.42,19.17,18.22,16.13,17.79,24.55,27.40
