,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,403,484,398,421,486,511,589,484,546,458,404,342,351
Expenses +,374,452,368,386,437,524,561,487,527,441,392,345,349
Operating Profit,29,31,30,36,49,-13,28,-2,20,18,11,-3,1
OPM %,7%,6%,7%,8%,10%,-2%,5%,-0%,4%,4%,3%,-1%,0%
Other Income +,-7,2,4,7,-14,-87,1,42,7,10,5,5,6
Interest,7,18,20,26,23,21,25,19,18,14,11,8,10
Depreciation,3,10,11,11,12,13,15,7,5,8,7,5,5
Profit before tax,13,6,3,5,1,-133,-10,14,4,6,-1,-12,-7
Tax %,20%,35%,55%,13%,-208%,-3%,-36%,15%,83%,56%,-204%,-15%,
Net Profit,10,4,1,4,3,-137,-14,12,1,2,-3,-13,-10
EPS in Rs,,,0.49,1.13,-0.32,-48.73,-8.18,3.31,0.20,0.61,-0.72,-3.37,-2.55
