,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,151","2,414","2,647","2,563","3,305","2,838","2,908","2,871","3,128","3,224","2,926","3,278","3,288"
Expenses +,"1,393","1,612","1,824","2,034","2,672","2,360","2,489","2,363","2,527","2,567","2,327","2,516","2,509"
Operating Profit,758,802,822,528,633,478,420,508,601,657,598,762,779
OPM %,35%,33%,31%,21%,19%,17%,14%,18%,19%,20%,20%,23%,24%
Other Income +,105,-177,30,203,149,125,119,70,131,-262,9,"1,401","1,379"
Interest,1,0,0,0,0,0,0,0,1,6,4,2,2
Depreciation,18,20,18,20,25,25,27,38,49,83,79,68,65
Profit before tax,845,605,834,711,756,578,511,540,683,306,525,"2,093","2,091"
Tax %,34%,29%,33%,32%,37%,35%,34%,35%,35%,70%,32%,19%,
Net Profit,561,429,562,482,476,376,337,351,445,93,358,"1,695","1,682"
EPS in Rs,33.09,25.30,33.17,28.43,28.12,22.20,19.88,20.70,26.29,5.50,21.14,100.04,99.30
