,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,337,422,453,631,799,486,313,249,195,164,171,237,292
Expenses +,265,328,352,525,723,413,262,218,159,225,169,208,232
Operating Profit,73,94,102,106,76,73,51,31,35,-61,2,29,60
OPM %,21%,22%,22%,17%,9%,15%,16%,12%,18%,-37%,1%,12%,21%
Other Income +,11,5,10,17,20,18,18,26,31,56,4,10,-38
Interest,39,40,47,51,42,65,72,83,78,68,68,73,95
Depreciation,3,4,3,3,4,3,2,2,2,2,1,2,2
Profit before tax,41,56,62,69,49,22,-5,-27,-13,-75,-63,-35,-75
Tax %,29%,36%,29%,37%,41%,42%,29%,30%,71%,23%,33%,34%,
Net Profit,29,36,44,43,29,13,-3,-19,-4,-58,-42,-23,-53
EPS in Rs,5.02,,7.41,7.32,4.84,2.17,-0.55,-3.21,-0.67,-9.75,-7.12,-3.93,-8.88
