,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,31,31,31,31,31,31,31,31,31,31,31,31,31
Reserves,"1,754","1,799","1,905","1,972","1,698","1,294",914,697,751,"1,197","1,373","1,663","1,737"
Borrowings +,"1,756","2,548","3,193","3,732","3,993","4,472","4,364","4,073","3,565",620,530,411,423
Other Liabilities +,"1,996","2,312","2,718","2,914","2,586","2,140","2,423","2,646","2,645",696,649,625,661
Total Liabilities,"5,536","6,690","7,846","8,649","8,307","7,936","7,731","7,445","6,992","2,544","2,582","2,730","2,852"
Fixed Assets +,"3,052","3,217","3,641","5,500","5,477","5,302","5,031","4,862",935,956,932,913,900
CWIP,389,772,"1,294",373,132,147,121,113,13,33,45,38,63
Investments,0,0,0,0,0,46,37,39,42,44,48,56,59
Other Assets +,"2,096","2,701","2,911","2,775","2,698","2,441","2,542","2,432","6,001","1,511","1,557","1,722","1,829"
Total Assets,"5,536","6,690","7,846","8,649","8,307","7,936","7,731","7,445","6,992","2,544","2,582","2,730","2,852"
