,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,608,801,493,497,566,531,427,489,252,249,177,168,170
Expenses +,546,725,444,446,515,501,415,442,234,234,163,156,157
Operating Profit,62,75,48,51,50,29,12,47,17,15,14,11,13
OPM %,10%,9%,10%,10%,9%,6%,3%,10%,7%,6%,8%,7%,7%
Other Income +,13,9,6,6,8,14,2,11,5,5,3,1,1
Interest,19,29,38,42,44,61,81,41,7,5,4,2,2
Depreciation,6,11,12,13,13,20,21,17,16,15,12,10,9
Profit before tax,50,44,3,3,2,-38,-89,1,-0,-0,0,0,3
Tax %,27%,22%,69%,36%,27%,3%,2%,-252%,689%,548%,-328%,-67%,
Net Profit,36,35,1,2,1,-36,-86,2,1,1,1,0,3
EPS in Rs,28.69,27.46,0.82,1.59,0.94,-28.82,-68.63,2.05,1.06,1.23,0.85,0.15,2.18
