,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,315","1,505","1,506","1,480","1,346","1,007","1,038","1,209","1,393","1,401","1,470","1,860","2,143"
Expenses +,"1,200","1,378","1,389","1,332","1,249",908,927,"1,078","1,249","1,287","1,381","1,702","1,955"
Operating Profit,115,127,117,149,97,99,111,131,144,114,89,158,188
OPM %,9%,8%,8%,10%,7%,10%,11%,11%,10%,8%,6%,8%,9%
Other Income +,27,49,53,26,227,10,15,12,13,16,14,13,17
Interest,52,70,69,67,53,20,17,19,27,31,39,42,45
Depreciation,65,71,87,94,85,47,46,54,58,80,80,91,98
Profit before tax,24,35,14,13,187,41,63,70,72,19,-16,38,62
Tax %,45%,35%,61%,79%,18%,28%,18%,17%,29%,12%,12%,37%,
Net Profit,13,22,5,3,154,30,52,58,51,17,-14,24,35
EPS in Rs,0.98,1.66,0.40,0.25,11.34,2.18,3.81,4.27,3.73,1.23,-1.05,1.75,2.61
