,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,0,926,"1,030","1,076","1,145","1,281","1,321","1,200","1,703","1,902"
Expenses +,0,833,900,937,996,"1,122","1,142","1,026","1,516","1,695"
Operating Profit,-0,93,130,139,149,159,179,174,188,207
OPM %,,10%,13%,13%,13%,12%,14%,14%,11%,11%
Other Income +,0,2,3,2,2,1,4,-5,4,11
Interest,0,33,35,29,18,17,22,17,14,18
Depreciation,0,33,35,37,36,37,52,56,58,60
Profit before tax,-0,28,62,76,97,106,108,96,119,139
Tax %,0%,32%,40%,34%,33%,27%,20%,23%,24%,
Net Profit,-0,19,38,50,65,77,87,74,91,106
EPS in Rs,-0.20,1.60,3.12,4.11,5.35,6.39,7.18,6.11,7.52,8.70
