,Jun 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,485,291,294,270,243,214,154,142,158,139,115,117,120
Expenses +,394,337,288,267,232,208,152,134,145,131,118,113,110
Operating Profit,91,-46,6,3,11,5,2,7,12,8,-3,3,10
OPM %,19%,-16%,2%,1%,4%,3%,1%,5%,8%,6%,-3%,3%,9%
Other Income +,1,5,-6,6,-191,2,-52,0,1,0,2,28,30
Interest,1,2,5,4,4,2,2,1,1,1,1,1,1
Depreciation,20,15,2,2,2,1,0,0,0,0,0,0,0
Profit before tax,71,-58,-6,3,-185,4,-52,6,12,7,-2,31,39
Tax %,24%,11%,4%,-97%,-5%,10%,-12%,-18%,6%,11%,-79%,2%,
Net Profit,54,-51,-6,6,-194,4,-58,7,12,6,-4,30,39
EPS in Rs,38.50,-36.06,-4.20,4.47,-114.35,2.18,-34.33,4.32,6.87,3.58,-2.17,17.92,22.84
