,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,405","1,568","1,311","1,566","1,682","1,940","2,371","2,454","2,961","3,743","4,228","5,553","6,596"
Expenses +,"1,253","1,519","1,258","1,465","1,514","1,749","2,191","2,223","2,625","3,370","3,848","5,090","6,060"
Operating Profit,152,49,53,101,168,192,180,231,336,373,380,464,536
OPM %,11%,3%,4%,6%,10%,10%,8%,9%,11%,10%,9%,8%,8%
Other Income +,6,1,-51,17,23,47,67,47,30,58,28,102,90
Interest,7,12,6,2,3,8,9,5,3,15,15,18,16
Depreciation,39,46,10,8,6,6,11,12,13,37,40,47,52
Profit before tax,113,-8,-15,107,182,225,226,260,349,379,352,500,557
Tax %,15%,-119%,-93%,27%,27%,30%,31%,26%,29%,27%,31%,25%,
Net Profit,96,-15,-28,78,133,159,157,192,249,277,244,376,419
EPS in Rs,6.11,-0.18,-2.00,5.55,9.54,11.31,11.15,13.73,17.78,19.75,17.40,26.85,29.90
