,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,987,"1,500","2,239","2,694","2,990","3,224","3,320","2,250","2,551","3,291","3,556","4,130","4,520"
Expenses +,838,"1,283","1,903","2,316","2,666","2,790","2,971","1,967","2,244","2,899","3,026","3,490","3,836"
Operating Profit,149,217,336,378,324,435,349,283,306,392,529,640,683
OPM %,15%,14%,15%,14%,11%,13%,10%,13%,12%,12%,15%,16%,15%
Other Income +,7,24,10,45,35,16,47,87,100,43,19,66,48
Interest,4,7,14,26,26,17,14,8,11,16,13,13,16
Depreciation,41,44,47,54,85,69,83,40,50,83,80,77,79
Profit before tax,110,189,285,343,248,365,299,322,346,336,455,617,637
Tax %,14%,23%,27%,27%,5%,23%,20%,21%,16%,33%,29%,25%,
Net Profit,95,148,208,249,237,281,239,254,292,224,321,464,483
EPS in Rs,5.38,,10.32,12.83,12.05,14.22,12.08,12.80,10.56,8.11,11.57,16.59,17.38
