,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,476","3,592","4,115","3,701","3,415","4,041","3,884","2,275","2,362","2,617","1,995","3,380","3,857"
Expenses +,"3,000","3,131","3,554","3,234","2,919","3,642","3,463","1,743","1,985","2,432","1,750","2,850","3,275"
Operating Profit,476,461,561,467,496,399,421,531,377,185,244,530,582
OPM %,14%,13%,14%,13%,15%,10%,11%,23%,16%,7%,12%,16%,15%
Other Income +,88,91,79,99,131,41,165,106,247,202,-115,83,104
Interest,297,333,437,438,516,602,579,489,370,266,401,420,416
Depreciation,82,89,77,82,80,55,78,54,50,66,72,82,87
Profit before tax,185,130,126,46,32,-216,-71,94,204,55,-344,112,184
Tax %,29%,46%,41%,46%,69%,9%,-45%,-12%,22%,43%,21%,39%,
Net Profit,131,70,74,25,10,-196,-103,105,154,11,-291,72,133
EPS in Rs,7.32,3.97,3.88,0.89,0.46,-10.65,-2.73,2.78,3.91,0.27,-6.25,1.50,2.73
