,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,24,24,24,24,24,24,24,24,24,24,24
Reserves,153,185,221,258,289,313,282,315,352,384,412,438,434
Borrowings +,0,0,0,15,26,96,18,0,0,21,14,50,43
Other Liabilities +,92,71,79,78,85,75,85,96,91,75,93,104,109
Total Liabilities,270,280,324,376,425,508,409,436,468,505,543,616,611
Fixed Assets +,50,59,79,125,152,178,197,193,180,213,295,301,308
CWIP,18,28,48,38,47,43,16,15,12,55,8,11,8
Investments,0,0,0,0,0,0,0,0,35,14,6,0,0
Other Assets +,202,193,198,212,226,286,196,227,240,223,235,304,295
Total Assets,270,280,324,376,425,508,409,436,468,505,543,616,611
