,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,024","1,186","1,202","1,233",390,484,499,483,532,499,416,498,665
Expenses +,959,"1,118","1,116","1,160",360,458,469,455,500,483,406,494,695
Operating Profit,65,68,86,73,30,26,30,27,32,15,9,4,-30
OPM %,6%,6%,7%,6%,8%,5%,6%,6%,6%,3%,2%,1%,-4%
Other Income +,50,46,63,139,90,82,86,72,69,60,141,252,550
Interest,27,34,63,101,63,64,62,46,41,16,53,57,79
Depreciation,19,18,18,18,5,5,6,6,6,7,8,9,9
Profit before tax,69,62,68,93,52,39,47,48,54,53,90,191,431
Tax %,18%,20%,30%,24%,21%,30%,31%,29%,25%,6%,13%,8%,
Net Profit,57,50,48,70,42,27,33,34,41,50,79,176,316
EPS in Rs,5.58,4.87,5.07,6.83,8.39,5.43,6.59,6.88,8.18,10.01,15.88,35.52,63.70
