,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,"5,603","7,004","9,961","10,744","9,676","10,646","11,819","13,703","17,013","20,892","18,199","21,419","29,369"
Expenses +,"4,179","4,972","6,964","7,434","6,985","8,473","9,758","10,903","14,806","17,094","15,849","15,970","19,659"
Operating Profit,"1,424","2,032","2,997","3,310","2,691","2,172","2,061","2,800","2,206","3,797","2,350","5,449","9,710"
OPM %,25%,29%,30%,31%,28%,20%,17%,20%,13%,18%,13%,25%,33%
Other Income +,146,69,24,17,28,2,76,65,"-23,004","3,108",140,91,100
Interest,213,448,"1,046","1,287","1,663","2,494","4,601","5,427","6,305","3,752","1,655","1,529","1,118"
Depreciation,209,278,620,831,964,938,"1,730","1,686","1,786","1,442","1,463","1,491","1,549"
Profit before tax,"1,149","1,376","1,355","1,209",92,"-1,258","-4,195","-4,248","-28,888","1,712",-628,"2,519","7,143"
Tax %,27%,27%,25%,25%,36%,0%,21%,15%,15%,0%,0%,0%,
Net Profit,843,"1,007","1,013",905,59,"-1,257","-3,441","-3,624","-24,566","1,712",-628,"2,518","7,142"
EPS in Rs,37.23,44.48,44.80,40.04,2.61,-55.49,-151.90,-159.60,"-1,084.59",15.66,-5.75,23.03,65.31
