,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,353","1,592","1,953","2,349","2,379","3,107","3,551","4,074","4,515","4,233","3,730","4,208","4,610"
Expenses +,"1,333","1,561","1,920","2,308","2,334","3,056","3,494","4,005","4,438","4,144","3,653","4,109","4,492"
Operating Profit,20,31,33,40,45,51,57,70,77,88,77,98,118
OPM %,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%
Other Income +,6,6,8,13,10,10,19,15,17,17,17,16,10
Interest,12,19,27,33,33,34,45,50,54,61,63,74,79
Depreciation,1,2,3,3,5,4,4,3,4,4,4,3,3
Profit before tax,13,16,12,18,18,22,28,32,35,40,28,37,46
Tax %,33%,34%,33%,34%,32%,33%,37%,36%,35%,24%,26%,27%,
Net Profit,9,10,8,12,12,15,17,20,23,31,21,27,33
EPS in Rs,1.58,1.46,1.16,1.66,1.72,1.92,2.25,2.62,2.64,3.56,2.41,3.12,3.82
