,Mar 2010,Mar 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,320,507,508,515,545,561,575,745,856,567,615,927,"1,127"
Expenses +,297,588,475,467,500,497,510,673,780,518,569,869,"1,050"
Operating Profit,22,-81,33,49,45,64,64,72,76,48,46,59,77
OPM %,7%,-16%,7%,9%,8%,11%,11%,10%,9%,9%,8%,6%,7%
Other Income +,2,227,2,2,2,2,5,4,6,14,5,9,13
Interest,7,8,3,2,5,7,6,3,7,13,17,26,29
Depreciation,7,9,11,13,13,13,13,16,17,19,22,23,23
Profit before tax,10,129,21,36,30,46,49,57,58,31,12,19,38
Tax %,31%,33%,33%,38%,26%,31%,31%,33%,33%,-17%,26%,25%,
Net Profit,7,87,14,22,22,32,34,38,38,36,9,14,29
EPS in Rs,0.79,9.99,1.60,2.59,2.52,3.66,3.92,4.40,4.42,4.14,1.04,1.63,3.31
