,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,990,"1,099","1,121",144,134,147,125,124,74,74,78,97
Expenses +,876,"1,016","1,018",134,128,140,114,106,71,62,64,74
Operating Profit,114,83,103,10,6,7,11,18,3,11,14,23
OPM %,12%,8%,9%,7%,5%,5%,9%,15%,4%,15%,18%,24%
Other Income +,67,7,16,21,25,25,37,29,93,10,89,66
Interest,35,42,32,1,0,0,0,0,0,0,0,0
Depreciation,33,38,43,6,6,5,4,3,3,4,5,6
Profit before tax,114,9,44,23,25,27,44,45,93,17,98,83
Tax %,1%,-19%,10%,-3%,2%,-3%,5%,8%,0%,19%,12%,
Net Profit,112,11,40,107,235,145,163,213,329,343,222,150
EPS in Rs,0.81,0.39,1.48,3.99,8.78,5.45,6.10,8.30,12.82,13.35,8.65,5.83
