,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,125,192,168,110,60,62,203,232,235,235,64,98,110
Expenses +,102,175,160,102,56,56,190,209,205,229,55,87,103
Operating Profit,23,17,8,8,4,6,13,23,30,6,8,11,7
OPM %,18%,9%,5%,7%,7%,10%,7%,10%,13%,3%,13%,11%,6%
Other Income +,0,1,9,12,28,5,4,5,6,3,2,6,8
Interest,0,2,5,10,25,15,17,23,34,47,56,53,49
Depreciation,1,1,1,3,2,5,5,6,6,6,6,6,6
Profit before tax,21,16,12,6,4,-9,-5,-1,-5,-44,-52,-42,-40
Tax %,31%,28%,38%,23%,44%,-2%,-79%,-279%,-13%,-2%,2%,-1%,
Net Profit,15,11,7,5,3,-9,-8,-3,-6,-45,-51,-42,-42
EPS in Rs,10.08,7.61,5.03,3.83,2.61,-0.99,-5.31,1.46,-1.61,-36.39,-40.74,-33.91,-33.80
