,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,161,211,271,344,419,578,686,328,706,"1,005"
Expenses +,154,198,252,319,377,525,614,334,649,891
Operating Profit,7,12,19,24,42,53,72,-6,56,114
OPM %,4%,6%,7%,7%,10%,9%,11%,-2%,8%,11%
Other Income +,0,-1,1,0,1,1,1,3,-2,-1
Interest,6,3,3,4,3,4,10,6,5,6
Depreciation,1,3,4,5,6,8,22,20,20,25
Profit before tax,1,6,12,16,34,41,40,-29,29,82
Tax %,78%,27%,35%,34%,36%,34%,24%,28%,23%,
Net Profit,0,4,8,10,22,27,31,-21,22,62
EPS in Rs,0.08,2.14,3.73,4.89,9.68,12.19,13.71,-9.34,9.99,26.97
