,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,14.67,15.83,15.51,6.19,3.43,1.41,1.45,0.82,0.75,0.71,0.59,0.78,0.76
Expenses +,12.08,14.33,14.02,6.14,4.61,3.70,2.27,0.79,0.62,0.59,0.51,0.68,0.62
Operating Profit,2.59,1.50,1.49,0.05,-1.18,-2.29,-0.82,0.03,0.13,0.12,0.08,0.10,0.14
OPM %,17.66%,9.48%,9.61%,0.81%,-34.40%,-162.41%,-56.55%,3.66%,17.33%,16.90%,13.56%,12.82%,18.42%
Other Income +,0.25,0.18,-0.14,0.21,0.23,-0.05,-1.39,0.26,0.20,0.12,0.13,0.12,0.09
Interest,0.08,0.13,0.14,0.15,0.22,0.30,0.38,0.36,0.20,0.15,0.17,0.16,0.16
Depreciation,0.77,1.01,0.72,0.29,0.29,0.24,0.20,0.08,0.05,0.03,0.01,0.00,0.00
Profit before tax,1.99,0.54,0.49,-0.18,-1.46,-2.88,-2.79,-0.15,0.08,0.06,0.03,0.06,0.07
Tax %,20.10%,18.52%,18.37%,-27.78%,0.00%,-0.35%,-0.36%,-6.67%,225.00%,16.67%,0.00%,0.00%,
Net Profit,1.59,0.44,0.39,-0.24,-1.46,-2.89,-2.79,-0.16,-0.10,0.06,0.03,0.06,0.06
EPS in Rs,0.60,0.17,0.15,-0.09,-0.55,-1.09,-1.06,-0.06,-0.04,0.02,0.01,0.02,0.01
