,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,237,342,452,558,660,791,912,"1,057","1,203","1,330","1,581","2,087","2,019"
Expenses +,181,256,354,419,504,582,675,793,910,987,"1,145","1,526","1,527"
Operating Profit,57,87,98,139,156,210,238,264,294,344,436,561,492
OPM %,24%,25%,22%,25%,24%,26%,26%,25%,24%,26%,28%,27%,24%
Other Income +,2,2,3,8,12,20,27,31,46,55,51,52,41
Interest,1,3,0,0,0,0,1,1,1,15,16,30,40
Depreciation,14,20,20,27,28,28,28,33,38,73,77,108,143
Profit before tax,45,66,80,119,140,201,237,261,301,310,394,475,349
Tax %,34%,32%,31%,33%,31%,34%,34%,34%,33%,27%,25%,26%,
Net Profit,29,45,55,80,96,133,156,172,200,228,296,350,251
EPS in Rs,858.49,"1,333.04","1,643.22",148.27,17.51,15.99,18.61,20.49,23.90,27.11,34.99,41.37,29.75
