,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,4,4,4,4,4,4,4,6,6,6,6,6
Reserves,160,171,205,194,196,189,164,153,117,155,140,135
Borrowings +,157,221,79,178,206,221,258,234,254,319,350,349
Other Liabilities +,90,101,163,202,166,234,246,270,197,100,101,95
Total Liabilities,412,497,452,579,572,649,672,663,575,580,597,584
Fixed Assets +,37,72,77,102,168,260,254,220,201,227,204,197
CWIP,4,7,9,16,28,0,0,0,0,0,0,0
Investments,211,59,59,56,0,0,0,0,0,0,0,0
Other Assets +,161,360,306,404,376,389,417,442,373,353,393,387
Total Assets,412,497,452,579,572,649,672,663,575,580,597,584
