,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,751","4,350","5,609","4,830","4,482","4,453","4,015","3,937","3,566","2,844","2,708","3,230","2,783"
Expenses +,"2,835","2,996","3,606","3,805","3,772","3,959","4,002","3,935","3,604","2,725","2,771","2,932","2,677"
Operating Profit,916,"1,355","2,004","1,026",709,494,13,2,-38,119,-63,298,106
OPM %,24%,31%,36%,21%,16%,11%,0%,0%,-1%,4%,-2%,9%,4%
Other Income +,-428,-394,187,88,67,66,114,-238,116,133,975,-163,-248
Interest,267,269,215,83,55,129,225,255,265,276,249,299,309
Depreciation,117,115,122,140,145,142,149,150,164,224,246,247,250
Profit before tax,104,577,"1,853",891,575,289,-247,-641,-351,-247,417,-411,-701
Tax %,8%,41%,14%,5%,28%,13%,9%,-4%,38%,82%,-65%,32%,
Net Profit,91,343,"1,594",843,413,252,-226,-667,-217,-43,688,-279,-591
EPS in Rs,,,111.87,58.91,28.30,17.45,-13.62,-42.30,-13.52,-4.81,47.64,-16.94,-36.17
