,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,824,875,"1,081","1,133","1,202","1,333",698,815,"1,180","1,104","1,235","1,270","1,320"
Expenses +,677,757,906,956,"1,100","1,169",738,942,"1,254","1,153","1,144","1,198","1,272"
Operating Profit,148,118,174,178,101,164,-41,-128,-74,-49,91,72,48
OPM %,18%,14%,16%,16%,8%,12%,-6%,-16%,-6%,-4%,7%,6%,4%
Other Income +,11,10,13,83,20,15,184,"2,735",91,91,50,47,41
Interest,2,4,3,3,3,3,3,8,8,8,5,6,11
Depreciation,29,30,38,46,41,39,44,51,67,82,84,91,100
Profit before tax,127,94,146,212,77,137,97,"2,548",-58,-48,51,22,-21
Tax %,25%,24%,22%,20%,3%,21%,-12%,0%,59%,-25%,33%,-50%,
Net Profit,95,71,113,169,75,108,109,"2,545",-24,-60,34,33,-37
EPS in Rs,10.53,7.89,12.52,18.68,8.31,11.90,11.96,361.82,-3.38,-8.55,4.87,4.70,-5.21
