,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,118","2,059","2,355","2,113","2,384","1,976","1,799","2,506","3,294","3,270","3,949","5,397","5,997"
Expenses +,883,"1,763","2,024","1,766","2,026","1,759","1,508","1,909","2,505","2,646","2,812","3,529","4,434"
Operating Profit,235,296,331,348,358,218,291,597,790,624,"1,137","1,868","1,563"
OPM %,21%,14%,14%,16%,15%,11%,16%,24%,24%,19%,29%,35%,26%
Other Income +,13,11,15,15,60,14,16,6,9,-3,48,175,183
Interest,73,130,121,165,224,252,259,263,253,212,115,20,12
Depreciation,55,68,71,105,118,126,120,132,133,137,109,105,113
Profit before tax,119,110,154,92,77,-147,-73,208,414,273,962,"1,918","1,621"
Tax %,17%,20%,-3%,24%,8%,32%,-1%,-3%,37%,35%,32%,24%,
Net Profit,100,88,158,69,71,-100,-74,215,261,177,655,"1,467","1,234"
EPS in Rs,6.76,6.64,11.36,4.42,5.05,-6.77,-5.28,14.73,17.88,11.83,45.28,104.06,87.29
