,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales +,92.85,119.67,144.81,187.27,225.66,251.37,49.35,57.53,90.46
Expenses +,52.61,65.39,71.57,93.86,99.56,107.23,18.26,18.65,65.57
Operating Profit,40.24,54.28,73.24,93.41,126.10,144.14,31.09,38.88,24.89
OPM %,43.34%,45.36%,50.58%,49.88%,55.88%,57.34%,63.00%,67.58%,27.51%
Other Income +,1.80,1.94,1.31,1.05,0.85,6.73,0.33,0.55,13.28
Interest,8.87,9.13,11.47,12.66,14.35,18.34,8.15,10.64,22.27
Depreciation,8.96,11.77,14.65,24.18,39.73,47.00,12.62,17.87,19.30
Profit before tax,24.21,35.32,48.43,57.62,72.87,85.53,10.65,10.92,-3.40
Tax %,30.44%,29.45%,32.67%,30.96%,33.61%,35.26%,42.44%,19.60%,
Net Profit,16.84,24.92,32.62,39.78,48.38,55.37,6.13,8.78,-3.62
EPS in Rs,6.65,9.15,11.47,13.97,17.59,18.53,2.06,2.83,-0.49
