,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"9,561","9,576","7,773","8,298","7,649","9,926","8,221","6,707","8,366","6,083","5,414","5,717","5,841"
Expenses +,"5,789","5,935","5,140","5,805","4,635","5,960","4,775","4,329","6,218","4,937","3,945","3,974","4,102"
Operating Profit,"3,772","3,641","2,633","2,493","3,014","3,966","3,446","2,378","2,148","1,146","1,469","1,743","1,739"
OPM %,39%,38%,34%,30%,39%,40%,42%,35%,26%,19%,27%,30%,30%
Other Income +,565,836,"1,279","1,133",503,506,"1,135","9,722",784,"1,135",383,195,150
Interest,"1,706","2,246","2,314","2,463","2,304","2,680","2,980","2,951","2,062","1,427",853,625,486
Depreciation,631,689,796,663,545,766,572,534,225,200,159,149,148
Profit before tax,"2,000","1,541",802,500,668,"1,026","1,030","8,615",646,653,840,"1,165","1,256"
Tax %,23%,24%,17%,-16%,24%,55%,22%,50%,43%,326%,43%,28%,
Net Profit,"1,550","1,167",667,590,507,305,708,"4,477","1,314",-590,"1,083","1,500","1,731"
EPS in Rs,9.09,7.07,4.19,3.63,3.03,1.72,4.01,25.02,5.98,-2.36,4.42,6.06,7.00
