,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,642,711,829,904,973,"1,015","1,093","1,120","1,149",975,"1,313","1,474","1,389"
Expenses +,572,621,706,774,835,883,954,965,998,861,"1,055","1,206","1,186"
Operating Profit,70,90,123,130,138,132,139,155,151,114,257,269,203
OPM %,11%,13%,15%,14%,14%,13%,13%,14%,13%,12%,20%,18%,15%
Other Income +,1,1,1,7,5,4,3,2,2,7,7,11,15
Interest,16,22,21,25,24,19,11,8,19,19,13,19,23
Depreciation,5,6,7,11,15,15,16,16,15,19,14,14,14
Profit before tax,51,63,96,102,104,102,115,134,119,84,237,247,181
Tax %,33%,31%,33%,35%,35%,35%,37%,36%,38%,26%,26%,22%,
Net Profit,34,44,65,66,68,66,72,86,74,62,175,192,137
EPS in Rs,42.38,5.48,8.15,8.31,8.57,8.29,9.09,10.84,9.33,7.78,22.04,24.12,17.22
