,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,631","5,263","6,358","7,224","8,651","9,427","9,376","11,905","13,166","14,253","14,404","15,265","15,711"
Expenses +,"3,602","4,177","5,228","6,021","6,896","7,095","7,474","9,074","10,174","11,455","11,013","11,923","12,593"
Operating Profit,"1,028","1,086","1,130","1,203","1,756","2,332","1,902","2,831","2,991","2,798","3,391","3,342","3,118"
OPM %,22%,21%,18%,17%,20%,25%,20%,24%,23%,20%,24%,22%,20%
Other Income +,11,49,32,30,45,112,127,111,183,-264,-231,"2,581",223
Interest,70,183,169,90,68,53,45,91,194,342,159,127,139
Depreciation,127,158,185,201,287,292,373,539,599,696,670,713,725
Profit before tax,842,794,809,942,"1,446","2,099","1,612","2,312","2,382","1,495","2,331","5,084","2,477"
Tax %,13%,14%,15%,11%,18%,8%,8%,24%,22%,21%,8%,10%,
Net Profit,736,681,690,836,"1,188","1,964","1,517","1,810","1,899","1,204","2,185","4,618","2,066"
EPS in Rs,6.95,6.37,6.38,7.85,11.24,18.89,14.53,17.35,18.06,11.49,20.84,43.83,18.99
