,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,205,242,302,390,143,181,179,216,244,215,77,163,229
Expenses +,162,189,250,324,116,144,144,181,214,182,99,116,165
Operating Profit,43,53,51,66,27,36,35,35,30,33,-22,47,63
OPM %,21%,22%,17%,17%,19%,20%,19%,16%,12%,15%,-29%,29%,28%
Other Income +,2,-1,-47,13,1,13,7,5,3,-1,14,43,17
Interest,21,25,23,20,13,15,19,16,19,24,22,20,16
Depreciation,16,17,27,28,25,30,26,24,24,31,28,24,22
Profit before tax,7,10,-45,32,-10,5,-4,-1,-10,-22,-58,46,42
Tax %,26%,25%,18%,36%,32%,-16%,13%,-508%,-27%,13%,10%,28%,
Net Profit,5,8,-37,21,1,10,-3,-4,-13,-19,-53,33,30
EPS in Rs,3.67,3.25,-22.11,7.86,1.70,6.64,-1.42,-2.31,-7.64,-10.54,-29.14,18.87,16.96
