,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,190,271,389,487,546,596,718,541,625,612,560,536,559
Expenses +,160,246,347,441,424,518,651,428,558,578,496,305,248
Operating Profit,31,24,42,46,122,78,67,113,67,34,64,231,311
OPM %,16%,9%,11%,9%,22%,13%,9%,21%,11%,6%,11%,43%,56%
Other Income +,2,1,2,-18,-34,5,107,15,3,-82,15,18,4
Interest,7,5,10,12,10,12,15,13,19,19,17,12,15
Depreciation,11,14,16,18,11,19,21,19,21,18,15,19,29
Profit before tax,15,7,18,-1,67,51,138,96,30,-85,47,218,270
Tax %,13%,17%,13%,-198%,8%,4%,23%,4%,1%,22%,7%,3%,
Net Profit,13,6,15,-5,62,50,106,92,30,-66,44,211,268
EPS in Rs,5.82,2.56,7.01,-2.09,27.95,22.40,48.31,41.92,13.56,-30.12,20.16,96.13,122.11
