,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"113,844","140,147","161,984","174,121","160,923","124,036","282,506","322,706","421,624","396,728","303,849","491,216","653,146"
Expenses +,"79,928","94,797","118,482","124,991","118,610","84,901","229,702","265,817","346,805","344,623","254,375","411,342","575,495"
Operating Profit,"33,916","45,350","43,501","49,130","42,312","39,135","52,804","56,889","74,819","52,105","49,473","79,874","77,650"
OPM %,30%,32%,27%,28%,26%,32%,19%,18%,18%,13%,16%,16%,12%
Other Income +,"3,718","11,075","5,488","7,170","5,955","1,067","12,724","10,429","9,567",982,"11,271","6,797","7,385"
Interest,438,435,484,624,"2,864","3,766","3,591","4,999","5,837","7,489","5,079","5,696","6,512"
Depreciation,"2,883","13,187","11,763","16,262","18,033","16,384","20,219","23,112","23,704","26,635","25,538","26,883","25,284"
Profit before tax,"34,313","42,804","36,742","39,413","27,370","20,052","41,718","39,208","54,846","18,962","30,126","54,091","53,240"
Tax %,33%,34%,35%,32%,35%,35%,30%,34%,38%,40%,29%,9%,
Net Profit,"22,828","28,428","23,994","26,665","17,703","13,102","29,169","26,068","33,938","11,456","21,360","49,294","39,109"
EPS in Rs,17.50,21.93,18.87,20.65,14.29,10.03,19.03,17.23,24.28,8.59,12.96,36.19,33.17
