,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,237","1,245",953,943,953,"1,002",845,850,865,889,960,"1,377","1,557"
Expenses +,"1,101","1,098",909,890,927,929,785,780,796,835,799,"1,082","1,278"
Operating Profit,137,147,45,53,26,73,60,71,70,54,161,295,279
OPM %,11%,12%,5%,6%,3%,7%,7%,8%,8%,6%,17%,21%,18%
Other Income +,44,171,-8,17,-68,7,74,75,100,"1,408",85,49,33
Interest,39,28,18,19,17,24,28,22,23,20,9,5,2
Depreciation,85,87,86,78,107,49,46,40,33,60,59,58,58
Profit before tax,56,203,-68,-26,-166,7,61,84,114,"1,383",177,282,252
Tax %,16%,69%,64%,-35%,-1%,50%,30%,24%,24%,4%,19%,18%,
Net Profit,91,110,27,19,-140,70,42,64,87,"1,327",144,230,214
EPS in Rs,5.58,6.67,1.59,1.08,-8.39,4.06,2.47,3.75,5.17,93.81,10.05,16.90,15.39
