,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,10,10,12,13,11,10,10,14,16,21,12,437,446
Expenses +,21,24,24,24,21,23,30,29,30,32,23,234,242
Operating Profit,-11,-14,-13,-12,-11,-13,-20,-15,-13,-11,-12,203,204
OPM %,-112%,-131%,-110%,-91%,-100%,-133%,-205%,-110%,-82%,-53%,-99%,47%,46%
Other Income +,9,10,9,2,6,1,2,39,10,-13,32,25,19
Interest,0,0,2,1,1,1,4,8,18,15,14,4,5
Depreciation,5,7,15,15,2,1,1,1,1,3,3,2,2
Profit before tax,-7,-10,-22,-25,-7,-14,-23,15,-23,-42,3,221,216
Tax %,3%,3%,5%,0%,-1%,-0%,1%,23%,0%,5%,0%,17%,
Net Profit,-7,-10,-21,-25,-7,-14,-23,11,-23,-40,3,185,179
EPS in Rs,-1.06,-1.58,-3.20,-3.84,-1.03,-2.20,-3.52,1.75,-3.64,-6.24,0.48,28.71,27.86
