,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,229,261,269,261,324,336,351,452,525,479,481,566,639
Expenses +,198,225,235,237,290,301,316,388,449,424,436,518,586
Operating Profit,31,36,34,24,33,35,35,64,76,55,45,48,54
OPM %,14%,14%,12%,9%,10%,10%,10%,14%,14%,11%,9%,9%,8%
Other Income +,6,9,8,9,7,9,14,13,15,26,16,25,26
Interest,0,0,0,0,0,0,0,0,0,1,1,0,0
Depreciation,4,6,6,6,8,4,4,6,8,9,10,13,14
Profit before tax,33,40,35,27,32,40,44,71,83,71,51,60,65
Tax %,24%,22%,19%,24%,29%,27%,33%,29%,29%,24%,22%,18%,
Net Profit,22,29,29,21,23,29,30,50,59,54,40,49,49
EPS in Rs,,13.04,12.93,9.39,10.21,12.80,13.08,22.01,25.88,24.02,17.52,21.76,21.79
