,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,259,275,290,324,378,461,487,431,699,769
Expenses +,196,207,235,252,299,379,404,342,577,633
Operating Profit,63,68,56,71,79,82,83,89,122,135
OPM %,24%,25%,19%,22%,21%,18%,17%,21%,17%,18%
Other Income +,2,2,2,7,10,10,17,8,8,18
Interest,2,5,10,11,12,8,7,5,8,8
Depreciation,11,21,11,17,23,33,36,37,43,46
Profit before tax,52,43,36,50,54,50,57,55,79,98
Tax %,28%,43%,-1%,43%,27%,37%,51%,23%,32%,
Net Profit,38,25,36,29,39,32,28,42,54,64
EPS in Rs,11.17,7.36,4.30,3.40,3.65,2.93,2.55,3.93,5.01,5.93
