,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,88,110,130,175,222,297,334,402,465,531,592
Expenses +,73,91,104,138,178,226,261,307,373,406,463
Operating Profit,15,19,26,37,44,71,73,95,92,125,129
OPM %,17%,17%,20%,21%,20%,24%,22%,24%,20%,24%,22%
Other Income +,1,1,2,1,1,3,5,7,8,6,8
Interest,3,4,5,11,17,27,24,20,17,15,13
Depreciation,5,4,5,7,13,16,16,22,21,24,34
Profit before tax,7,11,17,20,16,31,37,59,62,92,89
Tax %,41%,35%,33%,38%,26%,33%,36%,35%,35%,35%,35%
Net Profit,4,7,12,12,12,20,24,39,41,60,58
EPS in Rs,3.85,6.53,10.60,11.06,10.91,18.67,21.72,35.21,37.12,54.89,52.99
