,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,158,182,215,265,323,375,426,489,568,513,311,381,486
Expenses +,124,135,157,200,236,267,298,346,410,436,299,344,447
Operating Profit,34,47,57,65,88,108,128,142,158,77,13,37,39
OPM %,22%,26%,27%,25%,27%,29%,30%,29%,28%,15%,4%,10%,8%
Other Income +,1,5,1,1,1,2,3,1,2,-3,1,1,4
Interest,15,19,18,19,22,23,32,31,26,24,28,26,28
Depreciation,3,3,3,3,4,4,4,5,6,8,7,7,5
Profit before tax,17,29,37,43,63,83,94,108,128,42,-22,5,10
Tax %,21%,26%,34%,38%,35%,37%,36%,34%,36%,27%,1%,2%,
Net Profit,14,21,23,27,41,51,59,71,82,30,-22,5,7
EPS in Rs,29.91,10.55,11.81,13.68,15.05,19.19,22.72,26.18,30.52,11.09,-7.90,1.94,2.40
