,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,498,677,931,"1,208","1,474","1,749","1,983","2,126","2,055","2,588","2,890","3,341","3,597"
Expenses +,409,545,706,840,968,"1,155","1,292","1,467","1,489","1,904","1,889","2,408","2,733"
Operating Profit,89,132,224,369,505,594,691,658,567,683,"1,001",933,864
OPM %,18%,19%,24%,31%,34%,34%,35%,31%,28%,26%,35%,28%,24%
Other Income +,10,6,6,14,8,14,20,24,21,88,24,112,127
Interest,18,15,19,9,6,5,1,0,1,12,8,10,10
Depreciation,25,32,34,44,52,44,61,60,72,96,116,125,127
Profit before tax,56,91,177,330,456,559,648,623,514,664,900,909,853
Tax %,10%,15%,37%,29%,32%,26%,22%,25%,25%,30%,27%,22%,
Net Profit,51,77,112,234,310,416,507,469,387,468,654,713,674
EPS in Rs,3.84,5.85,8.49,17.75,23.47,31.49,38.40,35.50,29.56,35.73,50.38,55.63,52.43
