,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,266,260,240,266,314,366,499,581,600,513,802,993
Expenses +,224,220,204,230,268,318,434,519,544,477,776,978
Operating Profit,42,40,36,36,46,48,65,62,56,36,25,15
OPM %,16%,15%,15%,13%,15%,13%,13%,11%,9%,7%,3%,1%
Other Income +,4,3,6,10,5,4,6,9,8,11,14,10
Interest,10,17,17,17,20,17,19,24,23,19,20,10
Depreciation,8,10,8,7,5,5,7,6,7,6,8,9
Profit before tax,28,16,18,21,26,30,45,40,34,22,11,6
Tax %,20%,29%,23%,22%,27%,25%,74%,42%,46%,30%,52%,
Net Profit,23,11,14,17,19,23,12,23,18,16,5,1
EPS in Rs,6.24,3.14,3.86,4.58,5.30,6.30,3.21,6.47,5.02,4.10,1.46,0.13
