,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,492,291,371,541,531,565,702,837,"1,072","1,005","1,095","1,369","1,450"
Expenses +,403,270,356,500,506,533,675,802,"1,008",977,"1,001","1,301","1,384"
Operating Profit,89,21,16,41,25,32,27,35,64,28,94,68,65
OPM %,18%,7%,4%,8%,5%,6%,4%,4%,6%,3%,9%,5%,5%
Other Income +,-3,379,23,43,27,15,7,45,7,22,8,29,28
Interest,23,14,8,17,9,14,20,24,36,37,32,27,30
Depreciation,41,16,19,24,30,34,45,47,49,56,58,57,58
Profit before tax,22,371,12,43,13,-1,-32,10,-15,-43,11,13,5
Tax %,21%,18%,29%,20%,7%,-414%,25%,-20%,-30%,26%,-40%,83%,
Net Profit,17,306,8,34,12,-7,-24,12,-20,-32,16,2,-2
EPS in Rs,,,1.81,7.72,2.82,-1.65,-3.38,3.22,-3.42,-5.90,3.32,1.56,0.35
