,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,449","1,667","2,086","2,619","2,890","3,006","3,163","3,806","4,168","4,186","4,506","7,000","7,427"
Expenses +,"1,251","1,417","1,725","2,217","2,424","2,434","2,509","3,106","3,202","3,209","3,525","5,071","5,573"
Operating Profit,198,249,361,402,466,572,654,700,965,977,982,"1,929","1,854"
OPM %,14%,15%,17%,15%,16%,19%,21%,18%,23%,23%,22%,28%,25%
Other Income +,4,4,4,11,9,6,2,7,2,9,1,1,1
Interest,56,72,95,118,138,117,117,132,183,125,86,114,146
Depreciation,50,55,83,89,82,98,123,146,163,185,231,289,294
Profit before tax,96,126,187,206,255,363,416,429,622,676,665,"1,527","1,415"
Tax %,30%,29%,29%,26%,24%,26%,21%,19%,19%,19%,19%,14%,
Net Profit,82,104,135,163,208,268,328,346,504,547,535,"1,307","1,226"
EPS in Rs,2.66,3.26,4.25,4.58,5.81,7.71,9.62,10.24,14.18,15.39,15.02,36.06,33.82
