,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,TTM
Sales +,132,171,218,346,504,538,290,-6
Expenses +,97,120,151,239,375,432,316,120
Operating Profit,35,51,67,107,129,106,-26,-126
OPM %,27%,30%,31%,31%,26%,20%,-9%,"1,969%"
Other Income +,1,2,2,1,1,4,-20,-25
Interest,2,4,5,6,18,33,38,36
Depreciation,4,8,16,25,41,54,63,59
Profit before tax,30,42,49,77,71,23,-147,-247
Tax %,15%,21%,22%,31%,40%,70%,-8%,
Net Profit,25,33,38,53,42,7,-158,-232
EPS in Rs,19.39,25.12,27.48,37.36,31.19,7.30,-102.07,-154.32
