,Mar 2007,Mar 2008,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,169,215,708,775,846,994,"1,061","1,156","1,187","1,225","1,292","1,564","1,623"
Expenses +,129,162,639,712,786,903,934,"1,017","1,099","1,107","1,156","1,440","1,552"
Operating Profit,40,54,70,63,60,91,127,139,88,118,136,124,71
OPM %,24%,25%,10%,8%,7%,9%,12%,12%,7%,10%,11%,8%,4%
Other Income +,0,1,2,1,1,1,5,8,9,10,5,45,10
Interest,6,7,25,21,23,29,41,39,37,40,35,26,22
Depreciation,5,7,22,22,19,28,24,25,27,31,29,30,31
Profit before tax,29,41,25,22,19,35,67,83,33,57,77,114,27
Tax %,21%,28%,33%,39%,30%,32%,28%,31%,30%,19%,25%,19%,
Net Profit,23,30,17,12,15,26,49,57,23,46,58,92,18
EPS in Rs,,3.80,2.09,1.45,1.77,2.91,4.05,4.74,1.88,3.79,4.52,7.26,1.93
