,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,303,359,467,532,440,442,421,695,746,709,895,987
Expenses +,261,301,405,390,322,343,342,570,635,648,781,868
Operating Profit,42,58,62,143,118,99,80,125,112,61,114,119
OPM %,14%,16%,13%,27%,27%,22%,19%,18%,15%,9%,13%,12%
Other Income +,9,9,13,-8,34,42,40,-10,19,41,46,24
Interest,11,11,13,11,9,7,5,9,9,8,7,7
Depreciation,12,19,28,41,39,37,45,78,86,79,92,90
Profit before tax,28,37,35,83,103,97,69,28,35,15,61,47
Tax %,34%,35%,62%,44%,34%,31%,33%,75%,28%,105%,24%,
Net Profit,19,24,13,46,69,67,46,7,26,-1,46,33
EPS in Rs,599.61,773.61,320.87,5.67,7.25,7.02,4.86,1.21,3.68,0.24,4.84,3.44
