,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,180.25,194.21,281.93,143.55,152.90,155.39,81.64,38.81,43.56,44.90
Expenses +,157.99,166.94,249.96,138.63,138.90,176.22,75.16,46.98,42.01,49.84
Operating Profit,22.26,27.27,31.97,4.92,14.00,-20.83,6.48,-8.17,1.55,-4.94
OPM %,12.35%,14.04%,11.34%,3.43%,9.16%,-13.40%,7.94%,-21.05%,3.56%,-11.00%
Other Income +,9.68,3.30,2.99,6.74,0.71,1.55,0.33,6.00,0.68,0.61
Interest,1.81,4.82,5.04,4.85,4.16,4.11,3.54,2.70,1.91,1.08
Depreciation,1.19,1.63,1.81,1.41,6.79,7.24,7.17,7.50,3.55,1.78
Profit before tax,28.94,24.12,28.11,5.40,3.76,-30.63,-3.90,-12.37,-3.23,-7.19
Tax %,38.39%,25.00%,31.31%,25.37%,39.10%,0.98%,-7.95%,0.32%,73.07%,
Net Profit,17.83,18.09,19.31,4.03,2.29,-30.33,-4.21,-12.33,-0.87,7.29
EPS in Rs,5.08,5.30,1.25,0.26,0.15,-1.96,-0.27,-0.80,-0.06,0.47
