,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"309,797","408,923","461,780","488,345","449,507","346,045","355,379","421,492","528,158","483,763","363,950","589,336","772,799"
Expenses +,"295,154","389,402","447,919","471,123","438,932","324,007","321,230","379,834","492,896","467,710","324,021","542,717","739,058"
Operating Profit,"14,643","19,521","13,861","17,222","10,575","22,038","34,149","41,658","35,262","16,053","39,929","46,619","33,742"
OPM %,5%,5%,3%,4%,2%,6%,10%,10%,7%,3%,11%,8%,4%
Other Income +,"3,421","-4,268","3,499","5,064","5,860","5,219","4,356","4,331","4,097","-7,165","4,696","4,318","4,216"
Interest,"3,017","5,948","7,164","5,948","4,201","3,487","3,743","3,875","4,925","5,792","2,933","4,301","6,387"
Depreciation,"4,933","5,309","5,692","6,360","5,219","5,698","6,806","7,664","8,506","10,273","10,941","12,348","12,845"
Profit before tax,"10,114","3,995","4,504","9,978","7,014","18,072","27,956","34,450","25,927","-7,177","30,751","34,289","18,724"
Tax %,20%,-7%,19%,30%,31%,31%,27%,34%,33%,74%,29%,25%,
Net Profit,"8,086","4,265","3,627","6,967","4,872","12,413","20,385","22,626","17,274","-1,876","21,762","25,727","13,323"
EPS in Rs,5.38,2.90,3.05,4.86,3.37,8.25,13.63,15.23,12.31,-0.63,15.32,17.78,8.16
