,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,287,277,182,164,173,95,148,65,13,20,23
Expenses +,272,266,166,162,161,98,157,78,94,30,34
Operating Profit,15,11,15,2,12,-3,-9,-13,-82,-10,-11
OPM %,5%,4%,8%,1%,7%,-3%,-6%,-20%,-651%,-48%,-49%
Other Income +,2,4,2,5,0,0,1,9,0,14,-7
Interest,10,11,11,12,12,10,7,6,6,1,-2
Depreciation,4,4,6,11,9,8,7,6,5,4,3
Profit before tax,3,1,1,-15,-9,-21,-22,-16,-92,0,-19
Tax %,38%,37%,103%,13%,35%,14%,6%,13%,19%,"1,622%",
Net Profit,2,1,-0,-13,-6,-18,-20,-14,-74,-6,-12
EPS in Rs,0.05,0.02,0.00,-0.40,-0.18,-0.54,-0.61,-0.41,-2.24,-0.17,-0.35
