,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,513,617,919,764,438,231,76,74,72
Expenses +,430,506,762,840,521,310,382,120,88
Operating Profit,83,112,157,-76,-83,-79,-306,-46,-16
OPM %,16%,18%,17%,-10%,-19%,-34%,-404%,-63%,-22%
Other Income +,5,15,4,3,13,1,0,6,4
Interest,38,41,64,73,84,99,108,11,9
Depreciation,6,18,31,55,68,73,67,54,35
Profit before tax,44,69,66,-201,-222,-250,-481,-105,-56
Tax %,22%,24%,23%,28%,40%,-52%,-1%,-3%,-3%
Net Profit,34,52,51,-144,-134,-380,-486,-108,-58
EPS in Rs,,8.41,8.27,-23.35,-21.62,-61.47,-78.48,-17.46,-9.30
