,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,358,453,577,623,736,908,"1,091","1,246","2,384","2,467","2,414","2,589"
Expenses +,287,347,421,474,583,697,797,905,"1,921","1,947","1,881","2,095"
Operating Profit,71,106,156,149,154,211,294,340,464,520,533,494
OPM %,20%,23%,27%,24%,21%,23%,27%,27%,19%,21%,22%,19%
Other Income +,1,2,2,9,8,33,17,-44,-30,51,24,53
Interest,10,20,40,42,47,64,42,51,45,23,14,11
Depreciation,17,29,72,84,107,139,171,202,232,260,253,285
Profit before tax,45,60,46,33,8,41,98,43,158,288,290,251
Tax %,29%,31%,47%,39%,54%,36%,42%,43%,44%,27%,25%,
Net Profit,32,42,25,20,4,26,56,25,88,210,219,192
EPS in Rs,203.50,226.05,120.10,83.50,0.75,4.10,5.43,1.68,6.91,16.73,17.75,16.02
