,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,348,419,388,402,508,568,543,554,660,451,348,423,550
Expenses +,283,344,332,365,444,493,484,493,563,415,358,439,520
Operating Profit,65,75,57,38,64,74,59,61,97,36,-10,-16,30
OPM %,19%,18%,15%,9%,13%,13%,11%,11%,15%,8%,-3%,-4%,5%
Other Income +,2,0,5,17,4,6,0,23,6,-1,-24,-93,-1
Interest,13,19,20,23,26,33,51,50,53,57,59,108,143
Depreciation,11,11,12,14,16,19,30,32,34,32,34,37,38
Profit before tax,44,46,29,18,26,28,-22,0,17,-54,-127,-254,-152
Tax %,24%,1%,11%,-2%,21%,19%,38%,304%,103%,8%,3%,-1%,
Net Profit,34,45,26,18,21,23,-14,-1,-1,-50,-123,-257,-138
EPS in Rs,2.53,3.44,1.96,1.37,1.55,1.74,-0.65,0.28,0.23,-3.33,-8.98,-16.77,-9.76
