,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,397","5,684","6,390","6,810","8,738","6,173","7,033","8,965","9,797","9,154","8,720","10,298","12,991"
Expenses +,"4,067","5,094","5,840","6,094","7,621","4,484","4,859","6,156","6,893","6,971","6,937","8,120","9,999"
Operating Profit,330,590,550,715,"1,118","1,690","2,174","2,809","2,904","2,183","1,783","2,178","2,992"
OPM %,8%,10%,9%,11%,13%,27%,31%,31%,30%,24%,20%,21%,23%
Other Income +,155,141,136,93,105,326,416,536,701,572,482,496,575
Interest,10,8,4,8,10,2,4,5,7,19,16,19,21
Depreciation,57,64,82,130,220,137,154,223,300,382,451,452,474
Profit before tax,418,660,600,671,993,"1,877","2,433","3,116","3,297","2,355","1,798","2,203","3,071"
Tax %,27%,25%,21%,22%,29%,29%,30%,30%,33%,22%,25%,24%,
Net Profit,307,497,475,525,702,"1,338","1,667","1,960","2,203","1,827","1,347","1,677","2,334"
EPS in Rs,7.01,11.44,12.01,14.57,22.71,49.27,61.27,71.89,80.75,66.91,49.28,61.32,85.34
