,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,24,33,38,43,74,83,95,116,157,180,271,359
Expenses +,21,26,29,34,56,69,76,96,127,141,204,272
Operating Profit,3,7,9,9,18,15,19,20,29,39,67,87
OPM %,14%,22%,22%,21%,24%,18%,20%,17%,19%,22%,25%,24%
Other Income +,0,0,-0,0,-1,1,2,5,8,15,18,10
Interest,0,0,0,0,0,0,0,0,2,3,5,7
Depreciation,1,1,1,3,3,3,2,3,10,16,20,25
Profit before tax,3,7,7,6,15,13,19,22,26,35,60,64
Tax %,22%,11%,4%,12%,11%,-6%,11%,14%,17%,-5%,9%,
Net Profit,2,6,7,6,13,13,17,19,21,37,55,55
EPS in Rs,"1,466.67",25.68,14.33,10.99,25.86,7.52,6.97,7.87,8.82,15.34,22.78,22.71
