,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,TTM
Sales +,89.95,111.98,52.56,32.60,21.58,13.36,7.22,10.09,10.28,8.32
Expenses +,73.86,92.76,42.52,25.16,13.88,19.74,21.99,33.26,10.63,11.00
Operating Profit,16.09,19.22,10.04,7.44,7.70,-6.38,-14.77,-23.17,-0.35,-2.68
OPM %,17.89%,17.16%,19.10%,22.82%,35.68%,-47.75%,-204.57%,-229.63%,-3.40%,-32.21%
Other Income +,0.72,-0.06,-0.11,0.04,0.02,1.01,-28.97,-0.67,0.01,1.89
Interest,0.84,1.31,2.18,2.40,3.12,3.44,2.13,0.58,0.08,0.05
Depreciation,1.29,1.59,2.28,2.86,3.49,5.19,5.14,3.95,0.34,0.39
Profit before tax,14.68,16.26,5.47,2.22,1.11,-14.00,-51.01,-28.37,-0.76,-1.23
Tax %,8.58%,6.64%,22.85%,15.32%,35.14%,-1.21%,-0.69%,2.33%,0.00%,
Net Profit,13.42,15.18,4.22,1.88,0.72,-14.17,-51.36,-27.71,-0.76,-1.23
EPS in Rs,3.80,3.96,1.10,0.49,0.19,-3.70,-13.40,-7.23,-0.20,-0.33
