,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,227,212,227,200,212,224,239,253,295,304,380,449,474
Expenses +,181,165,189,167,175,186,192,195,236,243,268,334,368
Operating Profit,46,48,39,33,37,38,48,58,59,61,113,115,106
OPM %,20%,22%,17%,17%,17%,17%,20%,23%,20%,20%,30%,26%,22%
Other Income +,0,1,139,4,3,3,6,5,7,7,4,8,16
Interest,22,26,20,17,20,19,16,14,12,12,9,8,7
Depreciation,20,20,13,14,13,13,13,15,16,19,20,21,22
Profit before tax,4,3,145,7,6,10,24,34,38,37,87,95,92
Tax %,57%,7%,27%,-15%,40%,33%,34%,33%,25%,19%,26%,27%,
Net Profit,2,3,106,8,4,7,16,23,29,30,65,69,66
EPS in Rs,1.47,1.99,77.83,5.52,2.87,4.80,11.93,16.56,20.97,22.19,47.63,50.52,48.80
