,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,175,230,272,335,412,450,453,502,625,652,549,816,991
Expenses +,155,202,252,303,370,417,425,455,556,572,481,704,859
Operating Profit,20,28,20,32,42,33,28,47,69,80,68,113,132
OPM %,12%,12%,7%,9%,10%,7%,6%,9%,11%,12%,12%,14%,13%
Other Income +,1,2,1,3,2,4,5,5,3,6,19,15,14
Interest,9,11,15,16,18,18,17,15,18,33,30,30,25
Depreciation,5,7,9,8,12,11,12,12,13,48,46,45,47
Profit before tax,7,12,-3,11,14,8,4,25,40,5,11,52,75
Tax %,33%,39%,-1%,18%,37%,47%,48%,28%,38%,139%,34%,29%,
Net Profit,4,7,-3,9,9,4,2,18,25,-2,7,37,52
EPS in Rs,6.29,6.15,-2.84,8.61,8.74,4.83,1.76,14.27,17.43,-0.46,4.45,25.05,29.75
