,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,183,241,304,356,403,434,495,589,511
Expenses +,110,147,189,212,249,261,323,354,369
Operating Profit,73,94,115,145,154,174,171,235,142
OPM %,40%,39%,38%,41%,38%,40%,35%,40%,28%
Other Income +,8,7,-15,21,11,1,12,29,7
Interest,0,1,0,0,1,2,1,2,2
Depreciation,13,18,18,20,26,32,30,34,36
Profit before tax,68,82,82,145,138,140,152,228,110
Tax %,35%,37%,48%,36%,38%,37%,26%,23%,
Net Profit,44,52,43,93,85,88,113,176,80
EPS in Rs,8.95,9.64,7.98,17.36,16.13,16.73,21.40,33.29,15.10
