,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,195,252,213,279,308,292,353,406,503,591,"1,001","2,541","2,861"
Expenses +,177,234,197,246,272,257,306,344,426,479,862,"2,257","2,490"
Operating Profit,18,18,16,33,36,35,48,62,77,112,139,284,371
OPM %,9%,7%,8%,12%,12%,12%,13%,15%,15%,19%,14%,11%,13%
Other Income +,4,4,5,4,3,4,6,9,8,5,-10,7,51
Interest,1,1,1,1,1,1,1,1,1,3,10,25,33
Depreciation,4,6,7,9,10,8,8,10,11,21,50,133,110
Profit before tax,17,14,13,27,28,30,44,61,73,92,68,133,278
Tax %,30%,29%,28%,30%,33%,33%,29%,30%,31%,23%,7%,44%,
Net Profit,12,10,10,19,19,20,31,43,51,71,64,75,213
EPS in Rs,2.76,2.26,2.21,4.34,4.30,4.58,7.09,9.72,11.52,16.20,16.73,19.37,35.49
